Month,Author,Number of commits
August-2015,Russell Keith-Magee,37
September-2015,Katie McLaughlin,1
September-2015,Kajetan Rzepecki,1
October-2015,Charelle Collett,1
November-2015,Petr Blahos,8
December-2015,Shahul Hameed,2
December-2015,Ruba Merza,1
December-2015,Josh Stephens,1
January-2016,Ankush,2
March-2016,Chiang Fong Lee,108
March-2016,Ben Khoo,27
March-2016,mzwaen,3
March-2016,soummyaah,13
April-2016,khoobks,1
April-2016,Srishti Sengupta,3
April-2016,cherub96,2
April-2016,dbans02,1
April-2016,Kesha Shah,2
May-2016,nashella,2
May-2016,Adam Chainz,1
June-2016,ericatkin,1
June-2016,Daniel Gopar,3
June-2016,Kathryn Lingel,8
June-2016,julisi,4
June-2016,kdmills,1
June-2016,Ryan Backman,1
June-2016,Petr Viktorin,5
June-2016,Holly Becker,11
June-2016,bearnun,10
June-2016,Michelle J Levine,2
June-2016,Jeremy Bowman,3
June-2016,Sjoerd Job Postmus,7
July-2016,Jeff Shipley,17
July-2016,jshipley,1
July-2016,Philip James,2
July-2016,Bob Forgey,1
July-2016,Sviatoslav Abakumov,1
July-2016,Michael Bruce,11
July-2016,Gaylord Holder,2
July-2016,yourland,2
July-2016,Haris Ibrahim K. V,1
July-2016,Markus Holtermann,3
July-2016,Matt Land,4
August-2016,Eric Floehr,6
August-2016,Angel Talavera,1
August-2016,Sam Kitajima-Kimbrel,4
August-2016,Adrian Smith,13
August-2016,Katie Bell,3
August-2016,Devatanu Deka,1
August-2016,devadeka,1
August-2016,Thomas Cranny,1
August-2016,Anthony Briggs,1
August-2016,Dylan Graham,4
August-2016,Tim 'mithro' Ansell,3
August-2016,A. Barbosa,1
August-2016,Lutz Paelike,1
September-2016,Ivan Nekipelov,4
September-2016,Wessel,3
September-2016,Sambhav Satija,1
October-2016,Elias Dorneles,6
October-2016,Italo Maia,4
October-2016,Tiago,3
October-2016,Julio Freitas,1
October-2016,Saumya Balodi,1
October-2016,Katy310,1
October-2016,svatsan,1
October-2016,Valdir Stumm Junior,2
November-2016,Raphael Michel,3
November-2016,smilin_desperado,1
November-2016,mddemarie,2
November-2016,Henrique,1
November-2016,Talita Rossari,1
November-2016,Alessandro Fernandes Martini,4
November-2016,Felix5721,2
December-2016,Shai Berger,3
January-2017,Sanjeev S,3
February-2017,Jahir,3
February-2017,Jose,1
February-2017,Henrique Albor,5
February-2017,Fede Isas,2
February-2017,Shyam Sunder,1
March-2017,Ashwani Gupta,1
March-2017,leasunhy,7
March-2017,Sarthak Suri,3
March-2017,deepankar,11
March-2017,sohit-nayak,8
March-2017,Saurabh--Kumar,25
March-2017,avikantz,1
March-2017,flacode,14
March-2017,Shivendra Kumar,6
March-2017,Gil Mouta,2
March-2017,gilmouta,4
March-2017,AD Mohanraj,3
March-2017,ASP1234,12
March-2017,Ashutosh Saboo,8
March-2017,adamrk,5
March-2017,Andrew So,14
March-2017,gEt-rIgHt-jR,4
March-2017,Ostrea,1
March-2017,Adilson Torres,5
March-2017,Dibya Prakash Das,2
March-2017,Dibya Das,1
March-2017,ghw,6
March-2017,Sohit,2
March-2017,Nimish Singhal,1
April-2017,Nasreen123,3
April-2017,Spencer McMaster,15
April-2017,vivian,2
April-2017,Ivan Savov,2
April-2017,Atul Mishra,1
May-2017,Katie Allen,3
May-2017,Steve Lewis,1
May-2017,Ben Coleman,1
May-2017,Pamela McAâ€™Nulty,28
May-2017,George Khaburzaniya,1
May-2017,Luiz Irber,1
May-2017,Elaine Wong,3
May-2017,Umair Ashraf,5
May-2017,mistermocha,1
May-2017,Meghan Halton,1
May-2017,Brian Weber,1
May-2017,Brian Thorpe,16
May-2017,Jami Schwarzwalder,1
May-2017,Mariana Mioto,6
May-2017,Sergio Oliveira,1
May-2017,Jack Coleman,1
June-2017,Tzu-ping Chung,1
June-2017,Michael Fong,3
August-2017,JasonHammond,1
August-2017,rowella,5
August-2017,Nicolai Moore,3
August-2017,Trey Hunner,4
August-2017,Alex Rowell,1
August-2017,Bruce Fuda,2
August-2017,vivian-unsw,4
August-2017,miscoined,2
August-2017,Alex N,8
August-2017,Nicky Ringland,1
August-2017,hazza,3
August-2017,AlexN34,2
August-2017,Chandler,2
August-2017,Gonzalo Pena-Castellanos,18
August-2017,David Vo,2
August-2017,Tommy Beadle,11
August-2017,Amy Mok,16
August-2017,janmax,6
August-2017,manuellouie,2
October-2017,jvmaia,7
October-2017,Day,13
October-2017,thehungrysmurf,2
October-2017,Talitha,3
October-2017,Artur Gaspar,3
October-2017,gabrielecker,2
October-2017,Joana,1
October-2017,Nicolas Bontempo,11
October-2017,Talitha Pumar,7
October-2017,Ana Paula,1
October-2017,Carlos,1
October-2017,Jessica Paz,1
October-2017,Babi Moraes,1
October-2017,Anirudha Bose,12
November-2017,Jeff Smith,13
November-2017,kdongha,1
November-2017,Nandaja,1
November-2017,hcheng761,6
December-2017,Edmar P. A. Neto,1
December-2017,johnelutz,1
January-2018,Vab-jain,1
February-2018,Sanket Dasgupta,1
February-2018,Daniel Gonzalez Reina,1
February-2018,Deepayan,8
February-2018,BPYap,5
February-2018,Siddharth Mundada,19
February-2018,Prithvi Singh,7
March-2018,Alen Siljak,2
March-2018,Sarfaraz Ghulam Iraqui,12
March-2018,Kartik Kulkarni,1
